"Delivery Date","Hour Ending","MW Offered","REGUP Offer Price"
"01/30/2023","01","61.8","0"
"01/30/2023","01","250.8",".01"
"01/30/2023","01","280.8",".23"
"01/30/2023","01","448.8",".24"
"01/30/2023","01","540.8",".25"
"01/30/2023","01","592.8",".26"
"01/30/2023","01","608.8",".27"
"01/30/2023","01","631.3",".3"
"01/30/2023","01","665.3",".31"
"01/30/2023","01","695.3",".4"
"01/30/2023","01","710.3",".54"
"01/30/2023","01","725.3",".73"
"01/30/2023","01","766.3",".79"
"01/30/2023","01","781.3",".87"
"01/30/2023","01","818.3",".99"
"01/30/2023","01","825.8","1.11"
"01/30/2023","01","862.8","1.29"
"01/30/2023","01","870.3","1.36"
"01/30/2023","01","892.8","1.4"
"01/30/2023","01","916.8","1.7"
"01/30/2023","01","931.8","1.8"
"01/30/2023","01","939.3","1.94"
"01/30/2023","01","956.8","1.95"
"01/30/2023","01","1007.8","1.98"
"01/30/2023","01","1026","2"
"01/30/2023","01","1033.5","2.18"
"01/30/2023","01","1045.5","2.21"
"01/30/2023","01","1051.5","2.31"
"01/30/2023","01","1057.5","2.41"
"01/30/2023","01","1102.5","2.49"
"01/30/2023","01","1126.5","2.65"
"01/30/2023","01","1134.5","2.71"
"01/30/2023","01","1144.5","2.8"
"01/30/2023","01","1148.5","2.81"
"01/30/2023","01","1152.5","2.91"
"01/30/2023","01","1232.5","3.04"
"01/30/2023","01","1240","3.7"
"01/30/2023","01","1250","3.79"
"01/30/2023","01","1260","4"
"01/30/2023","01","1275","4.64"
"01/30/2023","01","1286.4","5"
"01/30/2023","01","1301.4","5.76"
"01/30/2023","01","1316.4","5.81"
"01/30/2023","01","1327.8","6.5"
"01/30/2023","01","1340.8","7.95"
"01/30/2023","01","1376.8","8"
"01/30/2023","01","1381.8","8.24"
"01/30/2023","01","1405.8","8.65"
"01/30/2023","01","1421","9.1"
"01/30/2023","01","1441","9.95"
"01/30/2023","01","1536","11.25"
"01/30/2023","01","1560","14.65"
"01/30/2023","01","1631","20"
"01/30/2023","01","1650","22.65"
"01/30/2023","01","1655","25"
"01/30/2023","01","1657.3","28.9"
"01/30/2023","01","1661.1","53.25"
"01/30/2023","01","1664.9","53.59"
"01/30/2023","01","1674.9","75"
"01/30/2023","01","1696.9","2000"
"01/30/2023","01","1697","5000"
"01/30/2023","02","61.8","0"
"01/30/2023","02","251.8",".01"
"01/30/2023","02","372.6",".19"
"01/30/2023","02","546.3",".2"
"01/30/2023","02","620.3",".21"
"01/30/2023","02","646.3",".22"
"01/30/2023","02","662.3",".23"
"01/30/2023","02","677.3",".27"
"01/30/2023","02","697.3",".34"
"01/30/2023","02","711.3",".35"
"01/30/2023","02","731.3",".43"
"01/30/2023","02","741.3",".44"
"01/30/2023","02","782.3",".79"
"01/30/2023","02","819.3",".99"
"01/30/2023","02","826.8","1.11"
"01/30/2023","02","863.8","1.29"
"01/30/2023","02","871.3","1.31"
"01/30/2023","02","878.8","1.34"
"01/30/2023","02","901.3","1.4"
"01/30/2023","02","908.8","1.64"
"01/30/2023","02","932.8","1.7"
"01/30/2023","02","947.8","1.8"
"01/30/2023","02","965.3","1.95"
"01/30/2023","02","1016.3","1.98"
"01/30/2023","02","1034.5","2"
"01/30/2023","02","1046.5","2.21"
"01/30/2023","02","1052.5","2.31"
"01/30/2023","02","1058.5","2.41"
"01/30/2023","02","1103.5","2.49"
"01/30/2023","02","1127.5","2.65"
"01/30/2023","02","1135.5","2.71"
"01/30/2023","02","1145.5","2.8"
"01/30/2023","02","1149.5","2.81"
"01/30/2023","02","1153.5","2.91"
"01/30/2023","02","1233.5","2.96"
"01/30/2023","02","1241","3.17"
"01/30/2023","02","1251","3.45"
"01/30/2023","02","1261","4"
"01/30/2023","02","1276","4.07"
"01/30/2023","02","1287.4","5"
"01/30/2023","02","1302.4","5.25"
"01/30/2023","02","1317.4","5.5"
"01/30/2023","02","1328.8","6.5"
"01/30/2023","02","1341.8","7.95"
"01/30/2023","02","1377.8","8"
"01/30/2023","02","1382.8","8.24"
"01/30/2023","02","1406.8","8.65"
"01/30/2023","02","1422","9.1"
"01/30/2023","02","1442","9.97"
"01/30/2023","02","1537","11.25"
"01/30/2023","02","1561","14.65"
"01/30/2023","02","1632","20"
"01/30/2023","02","1651","22.65"
"01/30/2023","02","1656","25"
"01/30/2023","02","1659.7","29"
"01/30/2023","02","1663.5","53.12"
"01/30/2023","02","1667.3","53.44"
"01/30/2023","02","1677.3","75"
"01/30/2023","02","1699.3","2000"
"01/30/2023","02","1699.4","5000"
"01/30/2023","03","61.8","0"
"01/30/2023","03","252.8",".01"
"01/30/2023","03","388.6",".18"
"01/30/2023","03","487.3",".19"
"01/30/2023","03","523.3",".2"
"01/30/2023","03","567.3",".21"
"01/30/2023","03","636.3",".22"
"01/30/2023","03","650.3",".23"
"01/30/2023","03","662.3",".24"
"01/30/2023","03","678.3",".25"
"01/30/2023","03","698.3",".41"
"01/30/2023","03","712.3",".42"
"01/30/2023","03","732.3",".54"
"01/30/2023","03","742.3",".55"
"01/30/2023","03","783.3",".79"
"01/30/2023","03","820.3",".99"
"01/30/2023","03","827.8","1.19"
"01/30/2023","03","864.8","1.29"
"01/30/2023","03","887.3","1.4"
"01/30/2023","03","894.8","1.49"
"01/30/2023","03","902.3","1.52"
"01/30/2023","03","926.3","1.7"
"01/30/2023","03","941.3","1.8"
"01/30/2023","03","948.8","1.86"
"01/30/2023","03","966.3","1.95"
"01/30/2023","03","1017.3","1.98"
"01/30/2023","03","1035.5","2"
"01/30/2023","03","1047.5","2.21"
"01/30/2023","03","1053.5","2.31"
"01/30/2023","03","1059.5","2.41"
"01/30/2023","03","1104.5","2.49"
"01/30/2023","03","1128.5","2.65"
"01/30/2023","03","1136.5","2.71"
"01/30/2023","03","1146.5","2.8"
"01/30/2023","03","1150.5","2.81"
"01/30/2023","03","1162","2.91"
"01/30/2023","03","1242","3.01"
"01/30/2023","03","1252","3.41"
"01/30/2023","03","1267","3.77"
"01/30/2023","03","1277","4"
"01/30/2023","03","1292","4.87"
"01/30/2023","03","1303.7","5"
"01/30/2023","03","1315.4","6.5"
"01/30/2023","03","1328.4","7.95"
"01/30/2023","03","1343.4","7.96"
"01/30/2023","03","1379.4","8"
"01/30/2023","03","1384.4","8.24"
"01/30/2023","03","1408.4","8.65"
"01/30/2023","03","1424","9.1"
"01/30/2023","03","1444","9.96"
"01/30/2023","03","1539","11.25"
"01/30/2023","03","1563","14.65"
"01/30/2023","03","1634","20"
"01/30/2023","03","1653","22.65"
"01/30/2023","03","1658","25"
"01/30/2023","03","1660","29"
"01/30/2023","03","1663.8","54.47"
"01/30/2023","03","1667.6","54.94"
"01/30/2023","03","1677.6","75"
"01/30/2023","03","1699.6","2000"
"01/30/2023","03","1699.7","5000"
"01/30/2023","04","61.8","0"
"01/30/2023","04","621.3",".01"
"01/30/2023","04","647.3",".03"
"01/30/2023","04","663.3",".05"
"01/30/2023","04","678.3",".07"
"01/30/2023","04","698.3",".21"
"01/30/2023","04","712.3",".23"
"01/30/2023","04","732.3",".36"
"01/30/2023","04","742.3",".38"
"01/30/2023","04","783.3",".79"
"01/30/2023","04","820.3",".99"
"01/30/2023","04","827.8","1.01"
"01/30/2023","04","835.3","1.27"
"01/30/2023","04","872.3","1.29"
"01/30/2023","04","894.8","1.4"
"01/30/2023","04","902.3","1.5"
"01/30/2023","04","926.3","1.7"
"01/30/2023","04","941.3","1.8"
"01/30/2023","04","948.8","1.9"
"01/30/2023","04","966.3","1.95"
"01/30/2023","04","1017.3","1.98"
"01/30/2023","04","1035.5","2"
"01/30/2023","04","1047.5","2.21"
"01/30/2023","04","1053.5","2.31"
"01/30/2023","04","1059.5","2.41"
"01/30/2023","04","1104.5","2.49"
"01/30/2023","04","1112","2.63"
"01/30/2023","04","1136","2.65"
"01/30/2023","04","1144","2.71"
"01/30/2023","04","1154","2.8"
"01/30/2023","04","1158","2.81"
"01/30/2023","04","1162","2.91"
"01/30/2023","04","1242","3.01"
"01/30/2023","04","1257","3.48"
"01/30/2023","04","1267","3.78"
"01/30/2023","04","1277","4"
"01/30/2023","04","1292","4.53"
"01/30/2023","04","1303.7","5"
"01/30/2023","04","1315.4","6.5"
"01/30/2023","04","1328.4","7.95"
"01/30/2023","04","1364.4","8"
"01/30/2023","04","1374.4","8.24"
"01/30/2023","04","1398.4","8.65"
"01/30/2023","04","1413.4","9.02"
"01/30/2023","04","1429","9.1"
"01/30/2023","04","1449","9.94"
"01/30/2023","04","1544","11.25"
"01/30/2023","04","1568","14.65"
"01/30/2023","04","1639","20"
"01/30/2023","04","1658","22.65"
"01/30/2023","04","1663","25"
"01/30/2023","04","1664.6","28.9"
"01/30/2023","04","1668.4","54.95"
"01/30/2023","04","1672.2","55.5"
"01/30/2023","04","1682.2","75"
"01/30/2023","04","1704.2","2000"
"01/30/2023","04","1704.3","5000"
"01/30/2023","05","61.8","0"
"01/30/2023","05","253.8",".01"
"01/30/2023","05","363.8",".08"
"01/30/2023","05","403.8",".09"
"01/30/2023","05","477.8",".1"
"01/30/2023","05","511.8",".11"
"01/30/2023","05","537.8",".12"
"01/30/2023","05","569.8",".13"
"01/30/2023","05","589.8",".16"
"01/30/2023","05","619.8",".17"
"01/30/2023","05","639.8",".28"
"01/30/2023","05","651.8",".34"
"01/30/2023","05","663.8",".45"
"01/30/2023","05","675.8",".6"
"01/30/2023","05","698.3",".72"
"01/30/2023","05","739.3",".79"
"01/30/2023","05","754.3",".97"
"01/30/2023","05","791.3",".99"
"01/30/2023","05","798.8","1.02"
"01/30/2023","05","813.8","1.16"
"01/30/2023","05","850.8","1.29"
"01/30/2023","05","865.8","1.3"
"01/30/2023","05","873.3","1.32"
"01/30/2023","05","895.8","1.4"
"01/30/2023","05","919.8","1.7"
"01/30/2023","05","934.8","1.8"
"01/30/2023","05","952.3","1.95"
"01/30/2023","05","1003.3","1.98"
"01/30/2023","05","1021.5","2"
"01/30/2023","05","1033.5","2.21"
"01/30/2023","05","1039.5","2.31"
"01/30/2023","05","1047","2.39"
"01/30/2023","05","1053","2.41"
"01/30/2023","05","1098","2.49"
"01/30/2023","05","1105.5","2.51"
"01/30/2023","05","1129.5","2.65"
"01/30/2023","05","1137.5","2.71"
"01/30/2023","05","1147.5","2.8"
"01/30/2023","05","1151.5","2.81"
"01/30/2023","05","1155.5","2.91"
"01/30/2023","05","1235.5","3.01"
"01/30/2023","05","1243","3.97"
"01/30/2023","05","1253","4"
"01/30/2023","05","1268","4.95"
"01/30/2023","05","1282.4","5"
"01/30/2023","05","1291.3","5.32"
"01/30/2023","05","1306.3","6.08"
"01/30/2023","05","1320.7","6.5"
"01/30/2023","05","1335.7","6.65"
"01/30/2023","05","1348.7","7.95"
"01/30/2023","05","1384.7","8"
"01/30/2023","05","1389.7","8.24"
"01/30/2023","05","1413.7","8.65"
"01/30/2023","05","1432.9","9.1"
"01/30/2023","05","1452.9","10.03"
"01/30/2023","05","1547.9","11.25"
"01/30/2023","05","1571.9","14.65"
"01/30/2023","05","1642.9","20"
"01/30/2023","05","1661.9","22.65"
"01/30/2023","05","1666.9","25"
"01/30/2023","05","1670.7","53.6"
"01/30/2023","05","1674.5","54.01"
"01/30/2023","05","1684.5","75"
"01/30/2023","05","1706.5","2000"
"01/30/2023","05","1706.6","5000"
"01/30/2023","06","61.8","0"
"01/30/2023","06","253.8",".01"
"01/30/2023","06","273.8",".19"
"01/30/2023","06","343.8",".2"
"01/30/2023","06","357.8",".21"
"01/30/2023","06","373.8",".22"
